"Indicator","PUBLISH STATES","Year","WHO region","World Bank income group","Country","Sex","Display Value","Numeric","Low","High","Comments"
"Life expectancy at birth (years)","Published","2000","Africa","Upper-middle-income","Namibia","Male","57","57.00000","","",""
"Life expectancy at birth (years)","Published","2000","Africa","Upper-middle-income","Namibia","Female","57","57.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Panama","Male","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Panama","Male","22","22.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Panama","Both sexes","23","23.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Peru","Male","68","68.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Peru","Both sexes","20","20.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Upper-middle-income","Palau","Both sexes","66","66.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Upper-middle-income","Palau","Female","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Upper-middle-income","Palau","Female","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Poland","Female","20","20.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Upper-middle-income","Romania","Male","68","68.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Upper-middle-income","Romania","Female","73","73.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Romania","Male","17","17.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Upper-middle-income","Romania","Both sexes","20","20.00000","","",""
"Life expectancy at birth (years)","Published","2000","Europe","Upper-middle-income","Russian Federation","Male","59","59.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Russian Federation","Both sexes","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Europe","Upper-middle-income","Serbia","Female","19","19.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Europe","Upper-middle-income","Serbia","Female","20","20.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Serbia","Both sexes","19","19.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Suriname","Both sexes","73","73.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Suriname","Male","22","22.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Americas","Upper-middle-income","Suriname","Female","22","22.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Suriname","Female","24","24.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Upper-middle-income","Seychelles","Female","75","75.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Africa","Upper-middle-income","Seychelles","Female","21","21.00000","","",""
"Life expectancy at birth (years)","Published","1990","Europe","Upper-middle-income","Turkey","Male","62","62.00000","","",""
"Life expectancy at age 60 (years)","Published","1990","Europe","Upper-middle-income","Turkey","Male","16","16.00000","","",""
"Life expectancy at birth (years)","Published","1990","Western Pacific","Upper-middle-income","Tuvalu","Both sexes","62","62.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Western Pacific","Upper-middle-income","Tuvalu","Female","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Western Pacific","Upper-middle-income","Tuvalu","Both sexes","15","15.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Uruguay","Both sexes","73","73.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Uruguay","Female","23","23.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Uruguay","Female","24","24.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Saint Vincent and the Grenadines","Female","75","75.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Saint Vincent and the Grenadines","Male","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Americas","Upper-middle-income","Saint Vincent and the Grenadines","Male","20","20.00000","","",""
"Life expectancy at birth (years)","Published","2012","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","Male","72","72.00000","","",""
"Life expectancy at birth (years)","Published","1990","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","Female","74","74.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Americas","Upper-middle-income","Venezuela (Bolivarian Republic of)","Male","20","20.00000","","",""
"Life expectancy at birth (years)","Published","1990","Africa","Upper-middle-income","South Africa","Male","59","59.00000","","",""
"Life expectancy at birth (years)","Published","2012","Africa","Upper-middle-income","South Africa","Both sexes","59","59.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Upper-middle-income","South Africa","Female","18","18.00000","","",""
"Life expectancy at age 60 (years)","Published","2000","Africa","Upper-middle-income","South Africa","Both sexes","16","16.00000","","",""
"Life expectancy at age 60 (years)","Published","2012","Africa","Upper-middle-income","South Africa","Both sexes","16","16.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Lower-middle-income","Angola","Male","43","43.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Lower-middle-income","Albania","Both sexes","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","High-income","United Arab Emirates","Female","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","High-income","United Arab Emirates","Both sexes","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","High-income","United Arab Emirates","Male","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Upper-middle-income","Argentina","Female","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","High-income","Australia","Both sexes","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","High-income","Australia","Male","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","High-income","Australia","Female","74","74.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Austria","Female","73","73.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Burundi","Female","43","43.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Belgium","Female","73","73.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Burkina Faso","Both sexes","42","42.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Burkina Faso","Male","50","50.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","South-East Asia","Low-income","Bangladesh","Male","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","South-East Asia","Low-income","Bangladesh","Both sexes","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","High-income","Bahrain","Female","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","High-income","Bahamas","Male","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","High-income","Bahamas","Female","67","67.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Upper-middle-income","Bosnia and Herzegovina","Both sexes","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Upper-middle-income","Belarus","Both sexes","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Lower-middle-income","Bolivia (Plurinational State of)","Female","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","High-income","Brunei Darussalam","Male","67","67.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","High-income","Brunei Darussalam","Female","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","High-income","Brunei Darussalam","Male","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Upper-middle-income","Botswana","Male","42","42.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Central African Republic","Male","38","38.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Central African Republic","Both sexes","38","38.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","High-income","Canada","Both sexes","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","High-income","Canada","Male","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","High-income","Canada","Female","73","73.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Switzerland","Female","74","74.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Chile","Female","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Lower-middle-income","Côte d'Ivoire","Female","46","46.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Democratic Republic of the Congo","Male","40","40.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Democratic Republic of the Congo","Female","42","42.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","High-income","Cook Islands","Male","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","High-income","Cook Islands","Both sexes","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Colombia","Male","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Colombia","Female","67","67.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Comoros","Male","50","50.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Lower-middle-income","Cabo Verde","Both sexes","59","59.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Lower-middle-income","Cabo Verde","Male","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Cuba","Both sexes","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Cyprus","Both sexes","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Czech Republic","Female","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Germany","Male","67","67.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Djibouti","Both sexes","49","49.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Dominica","Both sexes","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Dominican Republic","Male","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Dominican Republic","Female","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Upper-middle-income","Algeria","Female","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Upper-middle-income","Algeria","Female","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Lower-middle-income","Ecuador","Female","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Eritrea","Male","53","53.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Spain","Both sexes","73","73.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Estonia","Female","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Finland","Male","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Finland","Female","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Upper-middle-income","Fiji","Both sexes","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Lower-middle-income","Micronesia (Federated States of)","Female","58","58.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Upper-middle-income","Gabon","Male","53","53.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Upper-middle-income","Gabon","Female","54","54.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","United Kingdom of Great Britain and Northern Ireland","Female","72","72.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Lower-middle-income","Georgia","Female","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Ghana","Both sexes","50","50.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Gambia","Male","48","48.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Gambia","Both sexes","53","53.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","High-income","Equatorial Guinea","Male","47","47.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Grenada","Female","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Lower-middle-income","Guyana","Both sexes","56","56.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Croatia","Both sexes","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Low-income","Haiti","Male","50","50.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Low-income","Haiti","Female","53","53.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Hungary","Female","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","South-East Asia","Lower-middle-income","Indonesia","Male","57","57.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","South-East Asia","Lower-middle-income","India","Male","56","56.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Ireland","Both sexes","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Ireland","Male","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Iran (Islamic Republic of)","Both sexes","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Iraq","Male","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Iraq","Female","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Iraq","Both sexes","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Iceland","Female","72","72.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Upper-middle-income","Jamaica","Male","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Upper-middle-income","Jamaica","Male","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Jordan","Male","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Jordan","Both sexes","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","High-income","Japan","Both sexes","75","75.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Kenya","Female","46","46.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Low-income","Kyrgyzstan","Male","58","58.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Low-income","Cambodia","Both sexes","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Lower-middle-income","Kiribati","Male","53","53.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Upper-middle-income","Saint Kitts and Nevis","Both sexes","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","High-income","Kuwait","Male","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Low-income","Lao People's Democratic Republic","Both sexes","51","51.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Upper-middle-income","Lebanon","Male","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Upper-middle-income","Lebanon","Female","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Liberia","Both sexes","52","52.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Upper-middle-income","Libya","Both sexes","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Upper-middle-income","Saint Lucia","Female","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","South-East Asia","Lower-middle-income","Sri Lanka","Both sexes","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Lower-middle-income","Lesotho","Male","41","41.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","Lithuania","Female","68","68.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Upper-middle-income","Lithuania","Male","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Luxembourg","Male","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Morocco","Male","57","57.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Monaco","Male","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Monaco","Female","75","75.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Lower-middle-income","Republic of Moldova","Both sexes","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Madagascar","Female","50","50.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","South-East Asia","Lower-middle-income","Maldives","Male","59","59.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","South-East Asia","Lower-middle-income","Maldives","Male","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","The former Yugoslav republic of Macedonia","Both sexes","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Mali","Both sexes","41","41.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Mali","Male","49","49.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Mali","Female","48","48.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Malta","Female","72","72.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Malta","Both sexes","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","South-East Asia","Low-income","Myanmar","Female","55","55.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Mozambique","Both sexes","45","45.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Upper-middle-income","Mauritius","Male","62","62.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Malawi","Male","50","50.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Upper-middle-income","Malaysia","Male","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Upper-middle-income","Namibia","Both sexes","49","49.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Niger","Both sexes","42","42.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Niger","Female","50","50.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Lower-middle-income","Nigeria","Both sexes","46","46.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Netherlands","Female","72","72.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Norway","Both sexes","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","South-East Asia","Low-income","Nepal","Both sexes","53","53.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","High-income","Nauru","Both sexes","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","High-income","Nauru","Female","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","High-income","New Zealand","Both sexes","72","72.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Pakistan","Female","54","54.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Pakistan","Both sexes","54","54.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Pakistan","Female","57","57.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Upper-middle-income","Panama","Male","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","Upper-middle-income","Peru","Both sexes","67","67.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Lower-middle-income","Philippines","Both sexes","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Upper-middle-income","Palau","Both sexes","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Upper-middle-income","Palau","Male","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Upper-middle-income","Palau","Female","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Papua New Guinea","Female","55","55.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Portugal","Female","73","73.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","High-income","Qatar","Male","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","High-income","Qatar","Both sexes","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","Romania","Female","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","Romania","Both sexes","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Upper-middle-income","Russian Federation","Both sexes","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Rwanda","Male","40","40.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Senegal","Male","48","48.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","High-income","Singapore","Male","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Solomon Islands","Male","58","58.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Sierra Leone","Male","39","39.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Sierra Leone","Both sexes","39","39.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Americas","Lower-middle-income","El Salvador","Male","58","58.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","San Marino","Male","69","69.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Low-income","South Sudan","Male","41","41.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Low-income","South Sudan","Female","42","42.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Lower-middle-income","Sao Tome and Principe","Female","55","55.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Lower-middle-income","Sao Tome and Principe","Both sexes","54","54.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Slovakia","Male","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Slovenia","Male","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","High-income","Sweden","Both sexes","70","70.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","High-income","Sweden","Male","71","71.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","Both sexes","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","Male","55","55.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Syrian Arab Republic","Female","65","65.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Chad","Male","43","43.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Chad","Both sexes","44","44.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Africa","Low-income","Togo","Male","47","47.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Africa","Low-income","Togo","Both sexes","50","50.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Low-income","Tajikistan","Both sexes","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Lower-middle-income","Turkmenistan","Female","59","59.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Europe","Lower-middle-income","Turkmenistan","Both sexes","56","56.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","South-East Asia","Lower-middle-income","Timor-Leste","Female","51","51.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Lower-middle-income","Tonga","Male","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Lower-middle-income","Tonga","Female","61","61.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Lower-middle-income","Tonga","Both sexes","60","60.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Western Pacific","Lower-middle-income","Tonga","Male","64","64.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Americas","High-income","Trinidad and Tobago","Male","58","58.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2012","Eastern Mediterranean","Lower-middle-income","Tunisia","Both sexes","66","66.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Europe","Upper-middle-income","Turkey","Female","63","63.00000","","",""
"Healthy life expectancy (HALE) at birth (years)","Published","2000","Western Pacific","Upper-middle-income","Tuvalu","Female","57","57.00000","","",""
